"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pde4b",0.154358237503173,-0.884299533882621,4.0804728567969,-0.216714965377023,0.828430484473591,0.977178756916937
"Gm12799",0,NA,NA,NA,NA,NA
"Gm12789",0,NA,NA,NA,NA,NA
"Gm12790",0,NA,NA,NA,NA,NA
"Pramel19",0.284459731614366,1.74940554086417,4.05619988957793,0.431291748061806,0.666256249692967,0.977178756916937
"Pramel18",0,NA,NA,NA,NA,NA
"Gm12792",0,NA,NA,NA,NA,NA
"C130073F10Rik",0,NA,NA,NA,NA,NA
"Gm12791",0,NA,NA,NA,NA,NA
"Gm52666",0,NA,NA,NA,NA,NA
"Pramel17",0,NA,NA,NA,NA,NA
"Lepr",23.3242615314151,3.63194791430643,1.82191828078124,1.99347465395048,0.0462094962800522,0.977178756916937
"Leprot",0.308716475006347,-1.76430436827845,4.04075563180259,-0.436627336331,0.662381634367188,0.977178756916937
"Gm36012",0,NA,NA,NA,NA,NA
"Dnajc6",0.493475687022374,-0.957659792526967,3.64207844072779,-0.262943208970425,0.792594351800159,0.977178756916937
"Ak4",0,NA,NA,NA,NA,NA
"Gm12795",0,NA,NA,NA,NA,NA
"0610043K17Rik",0,NA,NA,NA,NA,NA
"Mir101a",0,NA,NA,NA,NA,NA
"E130102H24Rik",0,NA,NA,NA,NA,NA
"LOC118568677",0,NA,NA,NA,NA,NA
"LOC118568678",0,NA,NA,NA,NA,NA
"Gm12796",300.779970634445,0.927159250470149,1.25862350965575,0.736645425226278,0.461338003100405,0.977178756916937
"Gm25124",0,NA,NA,NA,NA,NA
"Gm52754",0,NA,NA,NA,NA,NA
"Gm19063",0,NA,NA,NA,NA,NA
"Gm24468",0,NA,NA,NA,NA,NA
"Jak1",0.389156630935293,0.0774811455462367,4.0804728567969,0.0189882761791137,0.98485045797882,0.992447937817757
"Gm22100",0,NA,NA,NA,NA,NA
"Gm35956",0,NA,NA,NA,NA,NA
"Raver2",2.5601375845293,4.89319400543678,3.67344829515928,1.33204379435117,0.182845797957878,0.977178756916937
"Cachd1",0,NA,NA,NA,NA,NA
"Gm46888",0,NA,NA,NA,NA,NA
"Gm12700",0,NA,NA,NA,NA,NA
"Ccdc50-ps",0,NA,NA,NA,NA,NA
"Ube2uos",0,NA,NA,NA,NA,NA
"Ube2u",0,NA,NA,NA,NA,NA
"Gm18288",0,NA,NA,NA,NA,NA
